HostGroup,VirusGenotype,DVGness,DVG_segment
Waterfowl (Anseriformes),D1.1,0.0383,DVGs_max
Waterfowl (Anseriformes),D1.1,0.29600000000000004,DVGs_max
Waterfowl (Anseriformes),D1.1,0.3442,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9425,DVGs_max
Waterfowl (Anseriformes),D1.1,0.4219,DVGs_max
Waterfowl (Anseriformes),D1.1,0.5015,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9538,DVGs_max
Waterfowl (Anseriformes),D1.1,0.2577,DVGs_max
Waterfowl (Anseriformes),D1.1,0.061500000000000006,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9201,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0453,DVGs_max
Waterfowl (Anseriformes),D1.1,0.6224000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9640000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1382,DVGs_max
Waterfowl (Anseriformes),D1.1,0.8926999999999999,DVGs_max
Waterfowl (Anseriformes),D1.1,0.055099999999999996,DVGs_max
Waterfowl (Anseriformes),D1.1,0.20809999999999998,DVGs_max
Waterfowl (Anseriformes),D1.1,0.8654999999999999,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0678,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9632,DVGs_max
Waterfowl (Anseriformes),D1.1,0.2427,DVGs_max
Waterfowl (Anseriformes),D1.1,0.2522,DVGs_max
Waterfowl (Anseriformes),D1.1,0.3048,DVGs_max
Waterfowl (Anseriformes),D1.1,0.935,DVGs_max
Waterfowl (Anseriformes),D1.1,0.6479,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0049,DVGs_max
Waterfowl (Anseriformes),D1.1,0.2924,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0012,DVGs_max
Waterfowl (Anseriformes),D1.1,0.6068,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9004000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1586,DVGs_max
Waterfowl (Anseriformes),D1.1,0.7545999999999999,DVGs_max
Waterfowl (Anseriformes),D1.1,0.2395,DVGs_max
Waterfowl (Anseriformes),D1.1,0.44689999999999996,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1432,DVGs_max
Waterfowl (Anseriformes),D1.1,0.106,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9699,DVGs_max
Waterfowl (Anseriformes),D1.1,0.5623,DVGs_max
Waterfowl (Anseriformes),D1.1,0.4514,DVGs_max
Waterfowl (Anseriformes),D1.1,0.3428,DVGs_max
Waterfowl (Anseriformes),D1.1,0.7646999999999999,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1666,DVGs_max
Waterfowl (Anseriformes),D1.1,0.3135,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1534,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0034000000000000002,DVGs_max
Waterfowl (Anseriformes),D1.1,0.5531,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9605,DVGs_max
Waterfowl (Anseriformes),D1.1,0.4996,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0127,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1225,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9651000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0446,DVGs_max
Waterfowl (Anseriformes),D1.1,0.4698,DVGs_max
